chapter_no,sentence
22,yol
22,colldve said that from the beginning !
22,i
22,did !
22,Not
22,myifallt yol rbblindi flshi we need a better system for next time : tsh
22,Nod So . you
22,say you doubt anyone 's met the apostle : but i 'm very sure you already know someone who did . Seven
22,knows better than to leave paper trails behind . he
22,"must have sent his personal messenger , right ?"
22,alip
22,flip I want at least two officers posted at every single exit of this building !
22,we
22,wo nt let lune slip through our fingers this time !
22,Purple
22,"hyacinth znd album ost will be available for streaming on oct 7th , 2019 . music"
22,let 's make it spicy : co creator co creator and artist
23,Hlip
23,"flip He must have sent his personal messenger , right ?"
23,Lost
23,your voice ?
23,my
23,friend here can sign if you 'd prefer . Really
23,?
23,that
23,'s too bad it 's so much easier to sign with all your fingers attached . But
23,if that 's what 's necessary Stbz The apostles never show themselvesi it 's always an anonymous messenger who gives us our directives . they
23,"are the eyes , ears , and voices of the apostle : i tried to follow one once , but they basically appear and disappear at will i lost him : hah tlip flip Interesting"
23,what about your associates ?
23,Mctrevor
23,might have been neutralized . but
23,i hear a certain ryan flemmings is still on the run . where
23,is he now ?
23,who
23,are the others ?
23,i
23,really ca n't say for sure !
23,they
23,get the weapons from the black market overseas so he 's there dealing with one of olr main suppliers on behalf of the apostle . as
23,"for the others i 've cooperated with mctrevor , ryan flemmings and a woman called beatrice blakesley . Hm"
23,: i see . plik
23,!
23,Sigk
23,Wae Hant gkps Purple
23,"hyacinth Episode Apdi please stand asidei Were looking for harry anslowi If you have information come forwardi else , step aside !"
23,seems
23,like they 're right on time !
23,your
23,cooperation has been much appreciated i strongly suggest you keep it up for the police if you want your trip to jail to be painless ckl bam ' pwbl ruble Hutt hdp Wft
23,Aw p : hey
23,let 's go . they
23,'re here we have to leave ; 6rip tsk Zam suami swama What 's your connection with him ?
23,How
23,do you know him ?
23,?
23,Aaaaaahhhhi
23,Craq Hey
23,talk to me . Wh
23,Now is not the time . Did
23,nt you hear what i just asked ?
23,How
23,do you know him ?
23,answer
23,"mei Cleari Storage room employees only Seriously , we got ta go , now . Who"
23,the hell are you ?
23,?
23,thvmp
23,thump 7hmp No
23,# rhk 4 kagh Let
23,go covbe of me !
23,gak
23,Nghrh Gp.1/ cuckl Purple hyacinth ost znd album is now available on all streaming platforms !
23,music
23,Let 's make it spicy . co
23,creator co creator and artist
24,Susy
24,trodsh Splfsh ; x ba ; thvmp 7tvmp
24,Snau What the hell was that ?
24,have
24,you gone completely mad ?
24,spy Hey Caasl zame # se . was
24,"any of that case or was everything eporrays just if you already want to ruin this get off me "" ienv ( elqate What happened in there ?"
24,what
24,did you see ?
24,i
24,said get off . Next
24,time you plan on going off the rails notify me in advance : sluh So
24,i can kill you before you do both of us in . Skrs
24,Damnit Purple hyacinth
24,Episode I may have stumbled upon a crlcial detail tonight . tttor
24,at # fa
24,I
24,"know it , even if i do n't know what it means It 's him i 'm sure of it geak Lalren . it"
24,"'s very late , should n't you be resting ?"
24,Yes
24,", train you 're right , station uncle qurict i did n't even realize the time . are"
24,"you alright , my dear ?"
24,allendale
24,tragedy We had a pretty hectic day at work !
24,i
24,think i 've been running on adrenaline since i got back do n't worry il sleep soon couricr somehow
24,"i doubt you 'll fall asleep standing in the middle of your office , brooding over the past . you"
24,'re still obsessing about that boy are n't you ?
24,i
24,have been told so often to turn the page that it 's become almost shameful for me to admit Lauren . it
24,'s been ten years . I
24,"am still stlck in the same chapter of my life he always worries , but i ca n't help it . Mail"
24,g 6910
24,+
24,"I ca nt you need to get rid of this damn board you should have done it a long time ago I would 've , but i ca n't do it for you . it"
24,'s up to you to find the strength to let go The boy is dead lauren If
24,"all these years and none of your ceaseless searches have uncovered any signs of life , it can not be otherwise . how"
24,much more time will you waste running after corpses ?
24,I
24,know lncle . i
24,"still . think about it , sometimes but believe me , i can see that all this leads to nowhere . please"
24,", stop worrying so much !"
24,i
24,"'m fine , i assure you : you should go to sleep and then i shall do the same : Good night then . sleep"
24,well Thmi Thmhp Cuckk| Henthl a illendale icen S8 grip : That night ) i
24,realized : I had overlooked crucial details . Jx4
24,4 ' What i assumed to be true about the past was wrong . detective
24,sinclair !
24,why
24,wo nt you listen to me ?
24,!
24,All
24,"1 knew for certain , Was that you deserved justice . And"
24,"whatever [ found in the end , 787:""1 "" at/. auuleda kautr ponmado ; nmal ; mtar uz Pn 59 ) p 09re ] ito i needed to know who did this to you . 1"
24,"2 matazi icuia hta ra hane jcncorn auzulada "" r tonmdo . adog"
24,But
24,nothing prepared me for the truth . Let
24,'s make it spicy . co
24,creator co creator and artist
25,Ren
25,ren !
25,You
25,'re so slow !
25,c'm
25,on !
25,There
25,you are !
25,Why
25,were you hiding ?
25,haha
25,!
25,So
25,", where is it ?"
25,I
25,do n't know It 's not with me !
25,Liar
25,!
25,i
25,know you have it !
25,well
25,", if you want it , you 'll have to catch me first !"
25,That
25,"is , if you cani Hahaha hahai Hahaha hahai hated happy dreams . Because"
25,they always reminded me of something [ could nt feel anymore . Purple
25,hyacinth Episode It 's already been three days . i
25,"still have n't heard from kieran : nor have i dared to go back to the cave not slrprising , considering we were so close to getting calght becalse of me . Anslow"
25,heard my voice and saw part of my face : It 's a miracle that he did n't remember it . anslow
25,appears to have taken several blows to the head . he
25,had multiple black outs and is experiencing mild memory loss . He
25,does n't remember how he ended up in that room or what happened before he lost consciousness the second time . He
25,"only recalls being interrogated by a man : I 'll just continle on my own , like always . it"
25,'s probably better this way . i
25,'ve risked sgl my neck with this assassin for long enough . still
25,. i
25,need to find a way to get to anslow . i
25,have to ask him about that picture Only he can answer my qlestions . Ugh
25,. winter sure is hitting like a truck 8 this year . 5
25,{ @al Sht Officer sinclair and i will pursue !
25,sergeant
25,"ladell , the patrol is in your charge !"
25,We
25,'ll catch up to you as soon as we 're done with her . Vatlr
25,Purple hyacinth ost music let 's make it spicy : co creator co creator and artist
26,Purple
26,"hyacinth Episode No n od gks thuhpl Surrender and we 'll resolve this calmly , ma'am : An"
26,entire squad of police officers saw you do that there 's no use trying to run . you
26,have the right to remain silent anything you will say can and will be held against you in court . Nodl
26,nod You have the right to an attorney . thvp
26,skrs If you can not afford one 7ov Mkhri Grhb @l One
26,"will be provided for you in the interrogation room : William hawkes , lauren sinclair , impressive team work . You"
26,both have passed your last physical aptitudes test . Yud
26,ve mei all 1ne requirements to enter the intensive training program you have refined taste in jewelry !
26,but
26,your shoplifting skills lack that level of elegance . lieutenant
26,hawkes speaking We are at the intersection of delph street and saint isidore street . skzke
26,The suspect is in custody . please
26,"send a it 's for my motheri please , i know what i did is wrong but"
26,she 's ill and
26,i need the money to pay for her treatment !
26,Lieutenant
26,hawkes ?
26,shale
26,Yes
26,", sorry . please"
26,bring a car . thank
26,"you : Even if it 's for a noble cause , stealing is still illegal . you"
26,"did n't hurt anyone , so you might be able to get away with just a fine . you"
26,'re of more use to your mother if you 're not behind bars so maybe next time you should think twice before robbing a jewelry store in broad daylight fovce Edi
26,Let 's hurry before kym takes over the entire city . In
26,step limp meatbagsi Or
26,before she starts hunting down watermelons instead of directing the patrol . Hahaha
26,haha !
26,Hey
26,"will , i know you do n't like to talk about your problems , but something 's been bothering you lately , right ?"
26,i
26,had a lot on my mind too Is
26,there anything i can do to help ?
26,Thanks
26,", lauren . well"
26,", i wo n't lie and say nothing is wrong but"
26,. You
26,know i 'll be fine : So do n't worry i'l handle it . those
26,words That smile he never lies but Is it your mother ?
26,Lamong
26,"other things , yes . Sorry"
26,", i Pat ; I know it 's okay"
26,I
26,know if you do n't want to talk about it i understand . you
26,do n't have to You know what ?
26,we
26,"should hang out , one of these days . It"
26,"'ll take your mind off of things , at least That 's a great idea : i 'm sure a little distraction would n't hurt you either you recidivist workaholic I"
26,'m afraid we 'll have to go in disguise or the women of the precinct will try to burn me at the stake : Hahahaha !
26,then
26,i 'd fear for them and not for you . Alright
26,", let 's go When will you finally let down yolr walls , will ?"
26,You
26,'ve held them up for so long Ill Handle It you need to break them : Before they break you . Islata
26,!
26,grmb
26,v Purple hyacinth ost music let 's make it spicy : co creator co creator and artist
27,Episode
27,"Hi there , darling It 's been a while , i hope you missed me : oh"
27,q What
27,do you want ?
27,Our
27,little break gave me a lot of time to reconsider : should i just get rid of you ?
27,or
27,do i bother to ask why you went berserk on me ?
27,And
27,what did you decide ?
27,Well
27,", obviously you 're still alive . so"
27,my curiosity seems to have got the upper hand this time . after
27,"all , we made a pact to not kill each other and lucky for you , i am a man of my word so officer what the hell did you see in anslow 's notebook ?"
27,That
27,'s none of your business . krvk
27,Cr4#p ao4
27,tlo Yes
27,", it is my damn business we 're partners and this is pertinent to the investigation there are things i have to know before you blow it during an interrogation There are a lot of things we do n't know about each other , but we made a deal : no personal questions . This"
27,is not a personal question : this is about the evidence i found during our mission . It
27,/s personal . i
27,looked through it and nothing was relevant to the case : we may have made a rule against killing each other but nobody said anything about harming zakale Before i was transfered to the patrol unit . I
27,was a detective : 1 worked on a case a year ago which got me kicked off the investigation unit . That
27,'s it That 's it ?
27,bullcrap
27,. that
27,'s not enough to make someone like you lose it like that . there
27,was something more to it Was nt there ?
27,srcj
27,You
27,asked me and i told you . i
27,saw a picture i did n't expect him to have and it took me by surprise . That
27,'s all you need to know . i
27,"lost my grip and put us in danger becalse of it , i know . I"
27,'m sorry . You
27,do n't need to worry about anslow . He
27,does n't remember . the
27,"knock to the head you gave him made sure of that , so fine . you"
27,'ve got guts and i like that . Only
27,fools have ever dared to challenge me . But
27,next time things g0 to hell because of you . I
27,m letting you burn . What
27,happened in the golden clover that night wo n't happen again : Lauren ?
27,Unlike
27,"you , i have n't wasted the past three days sulking . i"
27,'ve been investigating beatrice blakesley . We
27,'ll start to prep the file tonight and pay her a little visit this thursday night . you
27,know what to do telua ze journal decembcrtitl x21 team of justiciers masques helping the police ally foe ?
27,Again
27,", my dear lady my deepest apologies for disturbing you at such a late hour : You may return to your slumber if you wish , or simply wait for the police to arrive . they"
27,should be here any minute lackl Milady !
27,you
27,re late . you
27,"really thought 1 would n't take precaltions , lune ?"
27,After
27,seeing my associates drop like flies the past few days ?
27,anslow
27,"is an idiot , but i did n't get this far by being careless . Time"
27,to g0 !
27,clackl
27,Get
27,themi fools !
27,come
27,back !
27,you
27,were supposed to untie mei wvl fmw Clamg clang i Pleosh ?
27,How
27,timely !
27,Just
27,when i thought i was going to miss my training regiment . these
27,dummies are godsend . Cianh
27,Cu g !
27,crahh ' ` wkatk
27,Eld i twist Casks Krsh / Tmmp Kr
28,Wpack
28,Are you okay ?
28,Nod
28,"let 's get somewhere safe then : He truly never And yet Just now , he I kill only when i 'm ordered to . or"
28,if it 's the only solution : But next time things go to hell because of you : I m letting you burn why ?
28,Purple
28,"hyacinth Episode Let me help you no , i 'm fine : You look stupid . i'l"
28,help you fix your bandages Snhich ' Okay
28,it 's done . Kieran
28,"Actually , i N what ?"
29,Kieran
29,": about earlier , is i just Thank you . What"
29,?
29,Thank
29,you : i owe you my life . inhale
29,And
29,since you owe me your life . does
29,that mean i can take you on as my personal servant until you repay your debt ?
29,Haha
29,. slapa
29,Wnncl Nice try subordinate !
29,Purple
29,hyacinth Episode When
29,people lie skyk Can hear a change of pitch in their voice just like how most people can distinguish sarcasm i get to hear it even in the subtlest of lies but catching the lie does n't tell me the truth behind it some lies conceal too many possibilities and i can only hear it if someone says something they do n't actually believe if they truly believe something that 's objectively false it 'll sound true to me : interesting fascinating actually and you 've always had this ability ?
29,for
29,as long as i can remember yes why revee that me now ?
29,Why
29,did you save me ?
29,Well
29,", if you died i 'd be back to square one , would n't i ?"
29,i
29,need our partnership for my little vendetta as much as you do for yours . Indeed
29,. you
29,'d do a terrible job interrogating criminals without my help . Ol
29,you would n't even know who to question in the first place without me . I
29,"know we have a rule , but i wonder , why do you valle not killing without orders so much ?"
29,considering
29,. The
29,"reputation "" you have . When"
29,"you lead a life such as mine you need to abide by strong rules and never let g0 of them : otherwise , you 'll lose sight of who you are . And"
29,"by the time you realize it , it 'll be too late . And"
29,"those purple hyacinths you leave behind , what do they mean ?"
29,Obviously
29,", they 're a threat but that 's not all The hyacinths represent the roy al crest . is"
29,nt the message clear enough ?
29,it
29,'s always been an explicit threat to the royals . one
29,of the many that the phantom scythe constantly sends out . what
29,"a stupid question to ask , officer i thought the police already knew that much Let 's get started on this file on ned colden . we"
29,'ve got a lot of stuff to cover regarding what blakesley revealed tonight . he
29,'s not lying . But
29,is this really the whole truth ?
29,Xkh
29,h Ull
29,Tmvnp thvmp skk Purple hyacinth ost music let 's make it spicy : co creator co creator and artist
3,Assassins
3,"For a decade , they terrorized ardhalis city a6:0 No one had ever seen their leader terrorists Thieves Killers All united We called them : . The"
3,phantom Scythe And
3,that night They claimed another victim . purple
3,hyacinth Episode Whiteriver street whiteriver street Kym !
3,will
3,!
3,you
3,were called in as back up too ?
3,officer
3,lauren sinclair patrol unit nthprecinct ardhalis police department Hey
3,lauren : Yeah
3,we must all live close to the crime scene lieutenant william hawkes patrol unit 1th precinct ardhalis police department i
3,ca n't believe they called us in on our day off sergeant kym ladell patrol unit ilth precinct ardhalis police department and for a simple homicide !
3,just
3,because it happens be in our precinct !
3,nobody
3,"knows the area better than we to do If the culprit is still somewhere around here , we have the best chance of finding him i know . shut"
3,up lieutenant . I
3,"was only told there was a murder , and that the culprit escaped the guys on night duty are all busy with an armed robbery on the other side of town . detective"
3,march is supposed to join us with more backup soon . Clauk
3,!
3,Help
3,!
3,please
3,!
3,d
3,do n't know what happened !
3,the
3,lady miss !
3,please
3,"try to stay calm , you 're safe now you did the right thing calling us right away can you tell us what happened ?"
3,where
3,is mrs.grayson ?
3,i
3,i was having trouble sleeping bah But
3,then i heard sounds coming from lady grayson 's room !
3,bam
3,I wanted to make sure everything was alright . but
3,then i saw the b blood s so much blood and a limp hand sticking out of the doorframe and
3,i
3,i ran away step whsh I
3,was s so scared . it
3,seems our backup has arrived . Lieutenant
3,hawkes !
3,what
3,is going on here ?
3,detective
3,oliver march investigation unit 11th precinct ardhalis police department detective march !
3,good
3,to see you : we were called in about the murder of lady grayson we 're just about to search the house mn A
3,gunshot !
3,Across
3,the street !
3,sht
3,miss get inside and stay away from an windows !
3,detective
3,"march , please protect the witnessi lauren kym with mei @ang |"
3,Over therei Someone escaped through the windowsi Lauren wait !
3,damnit
3,!
3,kym
3,", follow me . they"
3,might still be alive in there . Siep
3,Sht he is actually fast M bah !
3,Let
3,'s g0 !
3,clhki
3,The gunshot came from upstairs !
3,come
3,on . If
3,you think ill let you slip through my fingers Sir !
3,are
3,you alright slam sht
3,he s dead oh
3,", no !"
3,surely
3,he 's just sleeping !
3,ca
3,n't you see he 's trying to charm you with how drop dead gorgeous he is ?
3,Shut
3,up kym . it
3,'s not a joke . this
3,murder looks like . lieutenant
3,?
3,It
3,was him He
3,was here . What
3,?
3,Laureni
3,i have to stop heri Shell get killed !
3,Ha
3,!
3,"dead endi Ie got you now Zaad "" clangi Jvmp Crap i dropped my gun earlier hell kill me at this rate Akrgh ; On that night You could have killed me . But"
3,"you hesitated , And [ did nt know why . If"
3,"only i did , Everything would have been different . Well"
3,be backi writer writer and artist ephemerys sophism @ephemerys ph @deadsophism ( official ph meme page ) ( music and art page ) donate on patreon
30,Episode
30,I 've heard that beatrice blakesley will be put to trial tomorrow . Her
30,case is almost as easy as mctrevor 's . the
30,7th precinct 's been watching her for a while . It
30,was about time for her to visit the bottomless pit of despair that awaits in jail . We
30,'ve already put two phantom scythe members behind bars thanks to lune . they
30,"'re becoming quite the legend in court huh wait , sarge And"
30,they 've been doing an incredible job infuriating hermann . oh
30,yeah : i
30,ve got a report from the 7th precinct that lune dropped a file there too . What
30,?
30,?
30,lune
30,sent a file to the tth precinct ?
30,how
30,did they get access there ?
30,!
30,Who
30,is it about this time ?
30,?
30,we
30,have to get our hands on it !
30,That
30,'s not difficult one little bruise to his ego and he 'd be ready to start a war tap no
30,sargei please do n't do that . i
30,do n't think it 's a good idea lieutenant hawkes will sergeant ladelli ' would you be so kind as to explain why your desk is becoming a cafe ?
30,officer
30,harvey do n't tell me you also got dragged into her shenanigans thp
30,tap What
30,Ta mhl me ?
30,a
30,common barista ?
30,low
30,"of you to insult me in such a way , lieutenant do nt you see this is art in its purest form ?"
30,As
30,"long as your "" art "" does n't prevent you from finishing your paperwork on time . i"
30,"ca n't wait on you tonight i have a family dinner i must attend tsk , like you 've ever had to wait on me , willame . Lieutenant"
30,", actually i was n't Where 's my coffee cup stop stealing all the office mugs , sarge . syy"
30,"If i 'm deprived of my morning coffee , i might have to deprive you of your limbs . Aa"
30,"You may have mine if you need one , lukas . Nj"
30,5 thank you : S@mp stmp stnp H how
30,can you glns run so fast ?
30,Thank
30,"you , mr colden , your help is much appreciated . Seems"
30,like the cops have arrived . we
30,shall now take our leave . Wait
30,no !
30,you
30,"'re lune , are n't you ?"
30,you
30,ca n't leave me here like this !
30,i
30,ca n't go to jail !
30,over
30,therei stop !
30,tu
30,psll k pkl Avavaia Tmp thvmp tluch Sth stonp Where did they go ?
30,!
30,damnit
30,we 've lost them wait where 's officer harvey ?
30,where
30,did everyone go ?
30,Do
30,n't tell me i lost them again ?
30,!
30,Do
30,n't you think being chased by cops is exciting ?
30,stmp
30,"What part of almost getting calght by my co workers , ruining my entire life smb and going to jail do you think i find exciting ?"
30,let
30,'s see : Gphpi Stonp stmp This part ?
30,sum
30,Ah . i
30,have to work harder : Police work is hard but i have to do this !
30,I
30,ca n't give up !
30,i
30,have to be strong for my grandpa !
30,I
30,got this !
31,k
31,"thank you again for working overtime to help with the arrests the rest of the squad is going back on patrol , you 're free to leave . pat"
31,I m glad i could help although it 's a shame we could n't catch lune we were so close this time !
31,at
31,least what the other witnesses said is right : they looked like two men better luck the next time i suppose . i
31,doubt this is the last time we 'll hear from them : il stay behind for a little longer to finish my report see you tomorrow detective march !
31,do
31,"n't stay up too late , harvey Purple hyacinth This episode contains images of graphic violence which may be disturbing to some readers . discretion"
31,is advised Episode 30 Oh
31,"hey , harvey you 're still there ?"
31,Yeah
31,", just finishing some work , i 'll see you around !"
31,Ths
31,"Argh , i have to go to the archive room : rch"
31,Hm ?
31,God the department is so creepy at night ix d
31,i better finish my work quickly and get out of here as soon as possible . Thvmp
31,Clid < fhf Reak Colden was talking about the lonely travelers . do
31,you know where it is ?
31,yeah
31,it
31,"'s located in greychapel , one of the most dangerous neighborhoods of ardhalis . it"
31,"'s not far from one of the phantom scythe 's favorite hang out spots , the grim goblin , an underground tavern . My"
31,"bet is that he has some sort of meeting with another member of the operation there : perhaps even the apostle 's messenger , if we 're lucky So"
31,we 're going to follow flemmings there as soon as he gets back in town : I am going to follow him : even you had particularly ardent death wish would n't let you set foot in the grim goblin . they
31,smell newcomers from mile away and
31,"they 'll tear you to shreds until you 've proven yol're as wicked as them : charming supposed t ' infiltrate the inn while he 's out then : touche officer : pob Listen , huh : i do n't want this to get awkward and"
31,i knows it 's random but
31,"i 'm sorry for pushing about the flowers last time : Ha , you i gless we are even now , officer . Creak"
31,. Hey
31,", is somebody there ?"
31,Sling
31,0 0 (
31,o 85o Twsh= ilsm Zle matihh itntiitiih bv You . you
31,"are the W kh # Shh M m "" knmk"
31,Yick Swpz Gpe chss tcs Tlss Purple hyacinth ost music let 's make it spicy : co creator co creator and artist
32,L4i
32,it 's so early at least an empty office is quiet . blikl
32,"llslt M i never thought of you as an early bird , ladell . thmp"
32,A 8 cpp sx Good morning lieutenant i
32,did n't hear you come in ll pigr zlm ' covb I noticed . ils
32,what are empty you doing in the office so early ?
32,it
32,'s barely five . i
32,could ask you the same . But
32,"if you must know , i 'm finishing up paperwork . Paperwork"
32,?
32,I
32,"told you , you 'd never have to wait on me for paperwork , willame . Stop"
32,looking me like just said i 'm off chasing pink elephants . it
32,'s not the first time i 've come in early to do my dle diligence as sergeant . well
32,i 'm glad to hear it . reminds
32,me why you were promoted in the first place !
32,must
32,admit forget sometimes oy !
32,guys
32,will you stop yelling it 's five a.m aaaaaa aaaaaaaa hhhhhi gnad !
32,What
32,the Did you two conspire to give me a heart attack this morning ?
32,i
32,came to work early to finally get some peace you re the one that disturbs peace in this office . early
32,"birds of a feather , hahai been falling behind on my paperwork , so i wanted to catch up . i"
32,"guess i 've been going on too many midnight dates "" these days Kym : what poke My coffee cup that 's grumpy cat 's desk . Oh"
32,my god !
32,we
32,need to clean it before he gets here or we 're all dead meat !
32,you
32,"are dead meat , ladell . you"
32,knocked it over : it 's your coffee cup butterfingers !
32,you
32,let it fly awayw !
32,You
32,"know , this is the first time , but i really wish i 'd never met you , kym : do n't worry i actually wish it all the time . What"
32,"on earth are you doing , hawkes ?"
32,do
32,nt you see this is a crisis ?
32,i
32,'m filling out request to change precincts before i get killed . This
32,"is an act of treason , willamei you can try to run , but your soul will never escape grumpy cat 's wrath !"
32,Purple
32,hyacinth Episode 31 aayye !
32,adventure
32,time at 5 am . !
32,what
32,the hell is wrong with you . Ahahahaha
32,!
32,janitor
32,"Wait is that Next time , you 're going to janitor pvma Stutlle C#s Wap"
32,Tp The
32,"signs are pretty vious he has no offensive or defensive wounds besides the cut on his neck forensic examiner grace riverhood forensic unit 11th precinct ardhalis police department considering the rotting skin around the cut , the blade must 've been coated powerfll poison : the autopsy will confirm it but"
32,"i 'm ready to bet we 're looking at the effects of olden viper venom : forensic examiner andrew lawes forensic unit 1th precinct ardhalis police department the venom spreads rapidly through the bloodstream and burns through all types of tissues with Skin and cartilage , while also causing mass hemorrhaging < it"
32,reacts with blood and produces a chemical : .. which increases the blood pressure exponentially until the heart ca n't stand it . the
32,"vapors released during the reaction are highly toxic and he must have suffocated until his heart finally burst , or his cranial arteries based on his bleeding , i 'd say it was the anelrysms that finally did it . {"
32,This
32,"type of venom is extremely rare , but i 've heard about such murders from other precincts . phantom"
32,"scythe assassin , no doubt . why"
32,would anyone want to do this to harvey ?
32,None
32,of the glards working last night heard a single thing . they
32,just assumed harvey went home I doubt harvey could have had any personal enemies who would bother to go to such expensive extremes to get rid of him : I 'd guess it 's the phantom scythe taunting us . avbf
32,Sent one of their assassin to deliver a message to us : their methods are too clean for hobbyist a5 too wel [ act He kecess spec e v 6 t A
32,an yov anight ?
32,l
32,Kym ?
32,you
32,should sit down for a wh i
32,i need to go finish the paperwork grip Tgh
32,?
32,Tcsh : Purple hyacinth ost music let 's make it spicy : co creator co creator and artist
33,Ky
33,m !
33,officer sinclair !
33,t
33,i need you to go the interrogation room and give your report to march on what happened this morning ca n't it wait ?
33,Well
33,the other two already stormed off . so
33,we 'll have to start with you . Focus
33,officer lieutenant hawkes went after her . ladell
33,is fine yes
33,", sir , of course . i"
33,do it grip You
33,"know the drill , i need to ask you a couple of questions , if you saw anything abnormal this morning , any clles , etc . il"
33,talk to hawkes and ladell when they get back . Purple
33,hyacinth Episode mup Thvmp czack t Kymi Kai Mami She
33,ca n't hear me z
33,"Toh Oh , no !"
33,surely
33,he 's just sleeping !
33,Ca
33,n't you see he 's trying to charm you with how drop dead gorgeous he is ?
33,Aye
33,", lauren !"
33,Aye
33,!
33,let
33,'s g0 !
33,this
33,calls for celebration !
33,Strs
33,ts kym
33,!
33,chi = Finally found you : What are you doing here ?
33,Just
33,checking if you 're okay . Well
33,that 's surprising i thought you despised me . I
33,do i 'm just I 'm just fulfilling my duty as lieutenant to make sure my subordinates are alright . Haha
33,. do
33,n't worry too much . i
33,"was just a little surprised , that 's all i 'll be okay . You"
33,do n't normally react like that though usually you make awful jokes at crime scenes and it makes me question your sanity but today you were . you
33,reacted like a normal person ?
33,and
33,weirdly that was scarier wah . well
33,"lieutenant , it 's nice to know that you question my sanity . Hahahai"
33,"it 's just that when i was little , i used to see cops like some sort of superheroes . but"
33,"over time , i realized how human they were : Their clock stops sometime : just like everyone else . Now"
33,when i recognize that same look in people 's eyes i wonder if they 'll ever realize it that superheroes die too . You
33,"seem quite fond of that music box are n't y Lal we should really go back to the precinct they are probably waiting for our depositions and infuriating hermann is really not on my bucket list this morning Golden viper , you say ?"
33,yes
33,. the
33,forensic unit was quite positive about that i see . well
33,", that 's quite unushal and expensive , whatever the message the killer wanted to send : I wish i could find the assassin who did this to harvey and send him to rot in jail . i"
33,"I could 've been the one to kill harvey , you know that ?"
33,what
33,would you have done ?
33,I
33,would ve killed you . hahahahai
33,"at least you 're clear , officer : i suppose i would n't expect less of you : Do you have any idea who it could be ?"
33,I
33,"have my suspicions , although i 'm not sure of anything . i"
33,can find the person who did it for you . However
33,we have much more pressing matters we need to talk about tonight flemmings will be back in town in two days and we better start planning our little infiltration : do we have enough time to build a file on him ?
33,nope
33,. and
33,somehow have the feeling we shouldn ' neutralize him yet . want
33,to learn more about him before moving against him : he could be useful later so
33,huh when you said had to dress up you meant . yep
33,"i "" borrowed "" one of their uniforms few hours ago . And"
33,trust me you are going to hate it . fwum
33,What the Purple hyacinth ost music let 's make it spicy : co creator co creator and artist
34,Episode
34,Lonely traveler ' s inn emplovee onlv Have you seen ms johnson today ?
34,52
34,nope they said she was on sick leave ah
34,yeah . she
34,was coughing lot yesterday . hope
34,she gets better soon . poor
34,"lady employee omitj lick creak ' thup Slam Ugh , why am i the one doing this while the other guy is ordering drinks and mingling at the bar ?"
34,Hi!+
34,Looks like i was right . he
34,'s waiting for someone . Chak
34,' N clhk Wow
34,"clack cla ( Belladona davenport well , this is about to get Interesting . Lonely"
34,traverler ' inn xx27 uc pai ( lip name room check in check out george hawkson 102 december 21h23 peter doyle 114 december i7th 17h25
34,flemmings 336 december 20th 19h30 pete mark 225 tae room 336 . perfect
34,. rlip
34,7 1 ] 17th
34,ryan 20th Flemmings . have n't seen you in a while . Hope
34,you 've had a wonderful time overseas . you
34,"should know , davenport things were actually going pretty well before i left . And"
34,now i hear the operation is being wrecked by rats you 're better informed than i thought . We
34,"do n't know who they are yet , but they call themselves "" lune "" so"
34,it 's true ?
34,anslow
34,", mctrevor and blakesley were all arrested ?"
34,Colden
34,too just a few days ago all in the span of two months damnit !
34,and
34,the whole time i was busting my ass handling transactions and shipments in foreign countries while these idiots were wrecking everything at home four of us caught so easilyi ?
34,that
34,'s unheard they all believed it was the leader 's plan and not the apostle taking over the reins himself the apostle as you can guess the apostle is furious an !
34,ofi
34,Hence
34,why we 're having a little meeting at the carmin camelia in a couple of days . we
34,'ll receive new directives then . What
34,"the hell Wds sq "" ' sqwalc Where 's the god damn room ?"
34,6il
34,a few vocntc mto squee sqwek Mums chien Squcak david thornberry peppalisa squ david thornberrv did nt i already walk past this ?
34,!
34,aaaaaaaaa
34,aaaaaaaaaaa aaaaaaaaaaaa aaaaaaaaa Fwoosh report You should really take good care of these documents . otherwise
34,. you
34,"know what will happen to you , do n't you ?"
34,of
34,course what do you take me for assassin ?
34,s
34,slayi
34,I
34,'m not half as incompetent as the other good for nothings . we
34,"'ll see about that , flemmings . odiamhhhh"
34,", Redemptidn finally clid Leave s You"
34,"know , it 's not very polite to eavesdrop Mister ph . or rather : Kieran Let 's make it spicy . co"
34,creator co creator and artist ephemerys sophism @ephemerys @deadsophism (
34,official ph meme page ) ( music and art page ) donate on patreon for blood and murder : datreon com / sonhism ph Editor : hb klein assistants : @neekaarts
34,@zaphyrae @akikakies
35,Episode
35,"You know , it 's not very polite to eavesdrop . Kieran"
35,. Tsk
35,crumbs !
35,there
35,"'s no hiding anything from you , belladona davenport . What"
35,brings you around here ?
35,let
35,"'s just say your little "" secret "" operation is doing so poorly that it 's only a matter of time before the leader wants all of you dead . after"
35,"all , four of its main shareholders are already behind bars and in the papers . i"
35,'m just doing some prep work So
35,you knew flemmings and i were meeting . you
35,"are n't the only know it all in the phantom scythe , i 'm afraid . what"
35,i find hilarious is that the bunch of you believed your operation could pass under the leader 's radar : I do n't think that anyone expected such a fiasco but only the pawns have been eliminated from the chessboard so far the master pieces are still well in place are n't you afraid the leader will exterminate you all ?
35,i
